Section,Field,Description
General Information,Product Name,Live Attenuated Vaccine
General Information,Batch Number,C345678
General Information,Manufacturing Start Date,2025-06-01
General Information,Manufacturing End Date,2025-06-07
Production Details,Raw Material - Name,Viral Culture
Production Details,Raw Material - Lot Number,VIR456
Production Details,Solvent - Lot Number,SMV890
Production Details,Environmental Conditions - Temperature,36°C
Production Details,Environmental Conditions - Humidity,60%
Production Details,Environmental Conditions - Pressure,1.3 bar
Manufacturing Stages,Stage Name,Fermentation
Manufacturing Stages,Start Time,2025-06-01 08:00 AM
Manufacturing Stages,End Time,2025-06-01 04:00 PM
Manufacturing Stages,Responsible Person,Anna White
Manufacturing Stages,Stage Name,Concentration
Manufacturing Stages,Start Time,2025-06-03 09:00 AM
Manufacturing Stages,End Time,2025-06-03 01:00 PM
Manufacturing Stages,Responsible Person,David Blue
Quality Control,Test Name,Viability
Quality Control,Result,97.8%
Quality Control,Verdict,Passed
Quality Control,Test Name,Contaminants
Quality Control,Result,0.01%
Quality Control,Verdict,Passed
Quality Control,Observations,Pressure maintained within limits.
Final Review,Reviewed By,Dr. Linda Gray
Final Review,Review Date,2025-06-07
Final Review,Conclusion,Batch C345678 meets all specifications and is approved for distribution.
