Section,Field,Description
General Information,Product Name,Subunit Vaccine
General Information,Batch Number,E567890
General Information,Manufacturing Start Date,2025-08-01
General Information,Manufacturing End Date,2025-08-07
Production Details,Raw Material - Name,Protein Subunit
Production Details,Raw Material - Lot Number,PSU890
Production Details,Solvent - Lot Number,SMV456
Production Details,Environmental Conditions - Temperature,33°C
Production Details,Environmental Conditions - Humidity,70%
Production Details,Environmental Conditions - Pressure,1.6 bar
Manufacturing Stages,Stage Name,Assembly
Manufacturing Stages,Start Time,2025-08-01 06:00 AM
Manufacturing Stages,End Time,2025-08-01 02:00 PM
Manufacturing Stages,Responsible Person,Alex Green
Manufacturing Stages,Stage Name,Packaging
Manufacturing Stages,Start Time,2025-08-03 11:00 AM
Manufacturing Stages,End Time,2025-08-03 01:00 PM
Manufacturing Stages,Responsible Person,Jamie Blue
Quality Control,Test Name,Integrity
Quality Control,Result,95.2%
Quality Control,Verdict,Passed
Quality Control,Test Name,Microbial Load
Quality Control,Result,0.03%
Quality Control,Verdict,Passed
Quality Control,Observations,Pressure maintained within limits.
Final Review,Reviewed By,Dr. Mark Black
Final Review,Review Date,2025-08-07
Final Review,Conclusion,Batch E567890 meets all specifications and is approved for distribution.
